label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1-1-5736,1-1-5741,1-1-5786,1-1-5787,1-1-5789
,719,720,0,203.123108,14.908,0.055532,,C13-label-1,Lys-Gly,Lys-Gly,C8H17N3O3,0.773,0.225363,202.119553,928.93,1120.16,0.00,0.00,0.00
,721,721,3,188.092682,13.031,0.717105,[M-H]-,C12 PARENT,Castanospermine isomer,Castanospermine isomer,C8H15NO4,1.198,0.811237,188.092682,3206.46,5687.70,2257.04,5580.53,2360.17
,722,722,5,188.103912,13.712,0.850151,[M-H]-,C12 PARENT,Homocitrulline,Homocitrulline,C7H15N3O3,0.235,0.811189,188.103912,55361.89,56835.53,65198.44,63314.44,55117.96
,722,723,0,189.107147,13.702,0.106097,,C13-label-1,Homocitrulline,Homocitrulline,C7H15N3O3,0.225,1.452392,188.103912,1297.16,2584.15,2767.83,4197.52,2723.55
,722,724,0,190.110535,13.695,0.054205,,C13-label-2,Homocitrulline,Homocitrulline,C7H15N3O3,0.218,1.284202,188.103912,683.25,0.00,0.00,0.00,0.00
,725,725,5,188.103912,13.712,0.849965,[M-H]-,C12 PARENT,N6-Carbamoyl-DL-Lysine,N6-Carbamoyl-DL-Lysine,C7H15N3O3,0.976,0.811189,188.103912,55361.89,56835.53,65198.44,63314.44,55117.96
,725,726,0,189.107147,13.702,0.106097,,C13-label-1,N6-Carbamoyl-DL-Lysine,N6-Carbamoyl-DL-Lysine,C7H15N3O3,0.966,1.452392,188.103912,1297.16,2584.15,2767.83,4197.52,2723.55
,725,727,0,190.110535,13.695,0.054205,,C13-label-2,N6-Carbamoyl-DL-Lysine,N6-Carbamoyl-DL-Lysine,C7H15N3O3,0.959,1.284202,188.103912,683.25,0.00,0.00,0.00,0.00
,728,728,5,188.986160,2.093,0.826995,[M-H]-,C12 PARENT,Pyrocatechol sulfate,Pyrocatechol sulfate,C6H6O5S,0.009,0.888142,188.986160,9776495.00,7576072.50,12696157.00,6441920.50,16648908.00
,728,729,5,189.989487,2.088,0.653403,,C13-label-1,Pyrocatechol sulfate,Pyrocatechol sulfate,C6H6O5S,0.004,0.963765,188.986160,625855.50,469802.22,831885.69,421221.59,1096557.88
,728,730,2,190.992706,2.097,0.806477,,C13-label-2,Pyrocatechol sulfate,Pyrocatechol sulfate,C6H6O5S,0.013,1.677729,188.986160,13571.29,12064.70,16049.77,8056.42,33373.12
,731,731,5,189.003906,2.918,0.820709,[M-H]-,C12 PARENT,Hydroxycitric acid lactone,Hydroxycitric acid lactone,C6H6O7,0.233,0.888059,189.003906,1189874.62,867925.19,1217745.12,748699.25,814048.75
,731,732,3,190.007294,2.918,0.801603,,C13-label-1,Hydroxycitric acid lactone,Hydroxycitric acid lactone,C6H6O7,0.233,0.722757,189.003906,71008.15,47902.32,67768.73,48015.97,39586.07
,733,733,2,189.040314,7.747,0.816540,[M-H]-,C12 PARENT,2-O-Methylascorbic acid,2-O-Methylascorbic acid,C7H10O6,1.290,0.807171,189.040314,8650.73,4423.54,4499.80,2759.15,5245.58
,733,734,0,192.051178,7.652,0.149512,,C13-label-3,2-O-Methylascorbic acid,2-O-Methylascorbic acid,C7H10O6,1.385,3.416434,189.040314,0.00,0.00,0.00,1272.44,1979.24
,735,735,5,189.051544,13.341,0.851160,[M-H]-,C12 PARENT,Asp Gly,Asp Gly,C6H10N2O5,0.328,0.807123,189.051544,56100.49,43288.91,44476.47,21018.95,33073.66
,736,736,4,189.066803,4.051,0.842139,[M-H]-,C12 PARENT,Indole-3-acetaldoxime N-oxide,Indole-3-acetaldoxime N-oxide,C10H10N2O2,0.071,0.807057,189.066803,22195.76,13127.08,23714.91,18716.35,19712.30
,736,737,0,190.070206,4.025,0.056094,,C13-label-1,Indole-3-acetaldoxime N-oxide,Indole-3-acetaldoxime N-oxide,C10H10N2O2,0.097,0.481678,189.066803,0.00,0.00,971.71,0.00,1373.33
,736,738,0,197.093094,4.050,0.230595,,C13-label-8,Indole-3-acetaldoxime N-oxide,Indole-3-acetaldoxime N-oxide,C10H10N2O2,0.072,3.561270,189.066803,8317.96,4947.86,4324.89,3107.81,5201.49
,739,739,5,189.087967,13.626,0.851285,[M-H]-,C12 PARENT,Diaminopimelic acid,Diaminopimelic acid,C7H14N2O4,0.198,0.645574,189.087967,44520.08,31730.23,45535.10,38199.80,38438.00
,739,740,0,190.091171,13.577,0.056597,,C13-label-1,Diaminopimelic acid,Diaminopimelic acid,C7H14N2O4,0.149,1.364603,189.087967,2212.41,0.00,1594.28,2466.02,0.00
,741,741,5,190.035553,13.384,0.812151,[M-H]-,C12 PARENT,gamma-Carboxy-D-glutamic acid,gamma-Carboxy-D-glutamic acid,C6H9NO6,0.602,0.802943,190.035553,9136.76,11790.58,8826.57,3558.92,4895.95
,742,742,3,179.107620,2.732,0.837393,[M-H]-,C12 PARENT,Dihydroactinidiolide isomer,Dihydroactinidiolide isomer,C11H16O2,1.454,0.766740,179.107620,7071.95,15923.40,10287.61,12554.24,15942.45
,742,743,0,187.133759,2.818,0.116512,,C13-label-8,Dihydroactinidiolide isomer,Dihydroactinidiolide isomer,C11H16O2,1.368,4.484651,179.107620,480730.28,181155.12,0.00,362822.66,117487.06
,742,744,0,188.137115,2.865,0.128919,,C13-label-9,Dihydroactinidiolide isomer,Dihydroactinidiolide isomer,C11H16O2,1.321,4.379630,179.107620,38061.63,10269.68,0.00,32976.00,13482.43
